City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sawtell,AU,2022-09-13 15:31:30,-30.3833,153.1,55.42,76,74,11.5
68,Clyde River,CA,2022-09-13 15:31:31,70.4692,-68.5914,39.43,100,100,8.05
69,Broome,US,2022-09-13 15:31:31,42.2506,-75.833,66.45,84,100,8.05
70,Butaritari,KI,2022-09-13 15:31:31,3.0707,172.7902,80.24,78,97,5.03
71,Oakham,GB,2022-09-13 15:31:32,52.6667,-0.7333,68.34,62,75,3.44
72,Ilieni,RO,2022-09-13 15:31:32,45.8,25.7667,61.23,46,70,8.68
73,Kaupanger,NO,2022-09-13 15:31:32,61.1845,7.2404,57.69,82,75,17.27
74,Yellowknife,CA,2022-09-13 15:26:56,62.456,-114.3525,46.92,87,20,2.3
75,Tuktoyaktuk,CA,2022-09-13 15:31:33,69.4541,-133.0374,33.8,93,100,17.27
76,Sisimiut,GL,2022-09-13 15:31:33,66.9395,-53.6735,48.13,74,100,13.06
77,Tuatapere,NZ,2022-09-13 15:31:34,-46.1333,167.6833,40.37,86,100,3.56
78,Dikson,RU,2022-09-13 15:31:34,73.5069,80.5464,38.17,75,100,12.95
79,Simpang,ID,2022-09-13 15:31:34,-1.2667,104.0833,74.73,92,100,2.64
80,Escanaba,US,2022-09-13 15:31:35,45.7453,-87.0646,69.96,59,0,3.44
81,Zhelyabovka,UA,2022-09-13 15:31:35,45.3988,34.7578,61.74,54,100,10.29
82,Maragogi,BR,2022-09-13 15:31:36,-9.0122,-35.2225,79.68,71,10,9.95
83,Haines Junction,CA,2022-09-13 15:31:36,60.7522,-137.5108,31.95,93,100,3.44
84,Martapura,ID,2022-09-13 15:31:36,-3.4167,114.85,77.09,83,100,3.44
85,Constitucion,CL,2022-09-13 15:31:37,-35.3333,-72.4167,55.36,67,1,4.05
86,Nuuk,GL,2022-09-13 15:31:37,64.1835,-51.7216,48.81,81,75,2.3
87,Straumen,NO,2022-09-13 15:31:37,63.8709,11.2999,57.2,94,100,3.11
88,Lompoc,US,2022-09-13 15:31:38,34.6391,-120.4579,62.85,91,100,4.61
89,Aklavik,CA,2022-09-13 15:31:38,68.2191,-135.0107,37.4,100,100,5.75
90,Avera,US,2022-09-13 15:32:38,33.194,-82.5271,74.71,35,25,6.06
91,Montepulciano,IT,2022-09-13 15:32:39,43.1017,11.7868,83.28,55,14,8.93
92,Hofn,IS,2022-09-13 15:32:39,64.2539,-15.2082,51.01,77,81,6.98
93,Krasnogorsk,RU,2022-09-13 15:32:38,55.8225,37.3181,55.74,53,100,9.82
94,Qaanaaq,GL,2022-09-13 15:32:40,77.484,-69.3632,37.26,76,100,3.89
95,Mehamn,NO,2022-09-13 15:32:40,71.0357,27.8492,44.55,76,75,9.22
96,Abu Zabad,SD,2022-09-13 15:32:40,12.35,29.25,79.43,73,100,6.4
97,Busselton,AU,2022-09-13 15:32:41,-33.65,115.3333,55.42,56,88,17.63
98,Tsuruga,JP,2022-09-13 15:32:41,35.6455,136.0558,79.63,93,100,3.11
99,Airai,TL,2022-09-13 15:32:41,-8.9266,125.4092,57.67,79,20,3.27
100,Chuy,UY,2022-09-13 15:32:42,-33.6971,-53.4616,62.2,68,43,13.51
101,College,US,2022-09-13 15:32:42,64.8569,-147.8028,42.75,90,75,8.05
102,Castro,BR,2022-09-13 15:28:20,-24.7911,-50.0119,69.82,76,84,8.88
103,Norman Wells,CA,2022-09-13 15:32:43,65.282,-126.8329,39.24,93,75,3.44
104,Souillac,MU,2022-09-13 15:32:43,-20.5167,57.5167,70.18,83,40,6.91
105,Hirado,JP,2022-09-13 15:32:43,33.3597,129.5531,78.39,92,89,18.3
106,Maraba,BR,2022-09-13 15:32:44,-5.3686,-49.1178,84.38,89,75,4.61
107,Sobolevo,RU,2022-09-13 15:32:44,54.4299,31.8996,47.64,83,100,8.57
108,Cocobeach,GA,2022-09-13 15:32:44,1.0002,9.5823,79.02,74,35,10.18
109,Bondoukou,CI,2022-09-13 15:32:45,8.0333,-2.8,81.14,71,78,3.31
